State,Constituency,Party,Candidate,Votes,Votes Percentage
Punjab,Jalandhar,Independent,RAMESH LAL KALA,876,1.36E-06
Punjab,Jalandhar,Independent,ASHOK KUMAR JAKHU,743,1.15E-06
Punjab,Jalandhar,Global Republican Party,BAL MUKAND BAWRA,591,9.16E-07
Punjab,Jalandhar,Independent,PARAMJIT KAUR TEJI,500,7.75E-07
Punjab,Jalandhar,Loktantrik Lok Rajyam Party,TARACHAND SHEELA,401,6.21E-07
Punjab,Jalandhar,None of the Above,NOTA,4743,7.35E-06
Punjab,Hoshiarpur,Aam Aadmi Party,DR. RAJ KUMAR CHABBEWAL,303859,0.000470834
Punjab,Hoshiarpur,Indian National Congress,YAMINI GOMAR,259748,0.000402483
Punjab,Hoshiarpur,Bharatiya Janata Party,ANITA SOM PARKASH,199994,0.000309894
Punjab,Hoshiarpur,Shiromani Akali Dal,SOHAN SINGH THANDAL,91789,0.000142228
Punjab,Hoshiarpur,Bahujan Samaj Party,RANJIT KUMAR,48214,7.47E-05
Punjab,Hoshiarpur,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),JASWANT SINGH,20923,3.24E-05
Punjab,Hoshiarpur,Bahujan Dravida Party,JEEVAN SINGH TAMIL,4621,7.16E-06
Punjab,Hoshiarpur,Independent,ROHIT KUMAR TINKU,2419,3.75E-06
Punjab,Hoshiarpur,Democratic Bharatiya Samaj Party,RAJESH,2336,3.62E-06
Punjab,Hoshiarpur,Independent,SONU SINGH PHAGWARA,1884,2.92E-06
Punjab,Hoshiarpur,Independent,DAVINDER SINGH,1617,2.51E-06
Punjab,Hoshiarpur,Nationalist Justice Party,HARDEEP SINGH,1425,2.21E-06
Punjab,Hoshiarpur,Bahujan Mukti Party,RAJPAL NADALI,1140,1.77E-06
Punjab,Hoshiarpur,Global Republican Party,BHIMRAO YASHWANT AMBEDKAR,1041,1.61E-06
Punjab,Hoshiarpur,Independent,SATPAL,993,1.54E-06
Punjab,Hoshiarpur,Samaj Bhalai Morcha,DAVINDER KUMAR SAROYA,930,1.44E-06
Punjab,Hoshiarpur,None of the Above,NOTA,5552,8.60E-06
Punjab,Anandpur Sahib,Aam Aadmi Party,MALVINDER SINGH KANG,313217,0.000485334
Punjab,Anandpur Sahib,Indian National Congress,VIJAY INDER SINGLA,302371,0.000468528
Punjab,Anandpur Sahib,Bharatiya Janata Party,DR SUBHASH SHARMA,186578,0.000289105
Punjab,Anandpur Sahib,Shiromani Akali Dal,PREM SINGH CHANDUMAJRA,117936,0.000182744
Punjab,Anandpur Sahib,Bahujan Samaj Party,JASVIR SINGH GARHI,90157,0.0001397
Punjab,Anandpur Sahib,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),KUSHAL PAL SINGH MANN,24831,3.85E-05
Punjab,Anandpur Sahib,Independent,GAJJAN SINGH,6171,9.56E-06
Punjab,Anandpur Sahib,Independent,SIMPLE KUMAR,2962,4.59E-06
Punjab,Anandpur Sahib,Independent,SATPAL,2297,3.56E-06
Punjab,Anandpur Sahib,Independent,GURMIT SINGH,2182,3.38E-06
Punjab,Anandpur Sahib,Akhil Bhartiya Parivar Party,DHARMINDER SINGH HARMAN,2043,3.17E-06
Punjab,Anandpur Sahib,Bhartiya Jan Samman Party,SUNIL KUMAR,1977,3.06E-06
Punjab,Anandpur Sahib,Bharatheeya Jawan Kisan Party,ER DALJEET SINGH SAINI,1715,2.66E-06
Punjab,Anandpur Sahib,Democratic Bharatiya Samaj Party,KULWINDER SINGH,1652,2.56E-06
Punjab,Anandpur Sahib,Bhartiya Rashtriya Dal,SUNAINA,1640,2.54E-06
Punjab,Anandpur Sahib,Independent,ADV KULWINDER SINGH,1600,2.48E-06
Punjab,Anandpur Sahib,Independent,MEGH RAJ,1430,2.22E-06
Punjab,Anandpur Sahib,Independent,HARWINDER KARWAL,1311,2.03E-06
Punjab,Anandpur Sahib,Independent,DAVINDER SINGH,1175,1.82E-06
Punjab,Anandpur Sahib,Punjab National Party,DARSHAN SINGH,1172,1.82E-06
Punjab,Anandpur Sahib,Ekam Sanatan Bharat Dal,HANISH SHARMA,1076,1.67E-06
Punjab,Anandpur Sahib,Independent,DEEPAK SHARMA,1012,1.57E-06
Punjab,Anandpur Sahib,Independent,PARMINDER SINGH,930,1.44E-06
Punjab,Anandpur Sahib,Revolutionary Socialist Party,YOG RAJ SAHOTA,925,1.43E-06
Punjab,Anandpur Sahib,Independent,RAMJAAN KHAN,672,1.04E-06
Punjab,Anandpur Sahib,Independent,ROHTASH,619,9.59E-07
Punjab,Anandpur Sahib,Independent,MANDAR SINGH,555,8.60E-07
Punjab,Anandpur Sahib,Hindustan Shakti Sena,KIRAN JAIN,515,7.98E-07
Punjab,Anandpur Sahib,None of the Above,NOTA,6402,9.92E-06
Punjab,Ludhiana,Indian National Congress,AMRINDER SINGH RAJA WARRING,322224,0.000499291
Punjab,Ludhiana,Bharatiya Janata Party,RAVNEET SINGH BITTU,301282,0.000466841
Punjab,Ludhiana,Aam Aadmi Party,ASHOK PRASHAR PAPPI,237077,0.000367354
Punjab,Ludhiana,Shiromani Akali Dal,RANJIT SINGH DHILLON,90220,0.000139797
Punjab,Ludhiana,Independent,KAMALJIT SINGH BRAR,42500,6.59E-05
Punjab,Ludhiana,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),AMRITPAL SINGH CHHANDRAN,18241,2.83E-05
Punjab,Ludhiana,Bahujan Samaj Party,DAVINDER SINGH RAMGARHIA,10394,1.61E-05
Punjab,Ludhiana,Independent,NARESH DHINGAAN,2530,3.92E-06
Punjab,Ludhiana,Sunahara Bharat Party,RAKESH KUMAR (RICKY),2091,3.24E-06
Punjab,Ludhiana,Independent,ER. BALDEV RAJ KATNA (DEBI),2086,3.23E-06
Punjab,Ludhiana,Bahujan Dravida Party,PRITPAL SINGH,1824,2.83E-06
Punjab,Ludhiana,Independent,DR. PALWINDER KAUR,1768,2.74E-06
Punjab,Ludhiana,Independent,SANJEEV KUMAR (SANJU),1567,2.43E-06
Punjab,Ludhiana,Jan Sewa Driver Party,RAJIV KUMAR MEHRA,1518,2.35E-06
Punjab,Ludhiana,Bharatheeya Jawan Kisan Party,BHUPINDER SINGH,1287,1.99E-06
Punjab,Ludhiana,Independent,BALJIT SINGH,1138,1.76E-06
Punjab,Ludhiana,Independent,VIPAN KUMAR BATRA,1041,1.61E-06
Punjab,Ludhiana,Sehajdhari Sikh Party,AMANDEEP SINGH,987,1.53E-06
Punjab,Ludhiana,Independent,PARAMJIT SINGH,927,1.44E-06
Punjab,Ludhiana,Independent,BALVINDER SINGH BITTA,918,1.42E-06
Punjab,Ludhiana,Independent,SIMRANDEEP SINGH,912,1.41E-06
Punjab,Ludhiana,Hindustan Shakti Sena,DEVINDER BHAGRIA,860,1.33E-06
Punjab,Ludhiana,Independent,KANIYA LAL (DR. KISHAN KUMAR),820,1.27E-06
Punjab,Ludhiana,Independent,SUDHIR KUMAR TRIPATHI,770,1.19E-06
Punjab,Ludhiana,Independent,GURDEEP SINGH KAHLON,738,1.14E-06
Punjab,Ludhiana,Aam Lok Party United,DR. DEVINDER SINGH GILL,695,1.08E-06
Punjab,Ludhiana,Independent,KIRPAL SINGH KAPURI,621,9.62E-07
Punjab,Ludhiana,Bharatiya Inqalab Party,SANTOSH KUMAR,610,9.45E-07
Punjab,Ludhiana,Independent,KAMAL PAWAR,592,9.17E-07
Punjab,Ludhiana,Independent,RAVINDER PAL SINGH BABA JI BARGAR WALE,548,8.49E-07
Punjab,Ludhiana,Independent,GURMEET SINGH KHARAY,517,8.01E-07
Punjab,Ludhiana,Independent,RUPINDER KUMAR,467,7.24E-07
Punjab,Ludhiana,Independent,CHANDI,456,7.07E-07
Punjab,Ludhiana,Independent,BALDEV SINGH SUMAN,450,6.97E-07
Punjab,Ludhiana,Independent,JAI - PARKASH JAIN (TITU BANIYA),419,6.49E-07
Punjab,Ludhiana,Samajik Sangharsh Party,HARVINDER KAUR,419,6.49E-07
Punjab,Ludhiana,Global Republican Party,SHIVAM YADAV,415,6.43E-07
Punjab,Ludhiana,Independent,BHOLA SINGH,411,6.37E-07
Punjab,Ludhiana,Nationalist Justice Party,DARSHAN SINGH DABA,390,6.04E-07
Punjab,Ludhiana,Independent,KULDEEP KUMAR SHARMA,383,5.93E-07
Punjab,Ludhiana,Independent,VISHAL KUMAR ARORA,344,5.33E-07
Punjab,Ludhiana,Independent,KARNAIL SINGH,340,5.27E-07
Punjab,Ludhiana,Independent,RAJINDER GHAI,284,4.40E-07
Punjab,Ludhiana,None of the Above,NOTA,5076,7.87E-06
Punjab,Fatehgarh Sahib,Indian National Congress,AMAR SINGH,332591,0.000515355
Punjab,Fatehgarh Sahib,Aam Aadmi Party,GURPREET SINGH GP,298389,0.000462358
Punjab,Fatehgarh Sahib,Bharatiya Janata Party,GEJJA RAM,127521,0.000197596
Punjab,Fatehgarh Sahib,Shiromani Akali Dal,BIKRAMJIT SINGH KHALSA,126730,0.00019637
Punjab,Fatehgarh Sahib,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),RAJ JATINDER SINGH,43644,6.76E-05
Punjab,Fatehgarh Sahib,Bahujan Samaj Party,KULWANT SINGH,20892,3.24E-05
Punjab,Fatehgarh Sahib,Independent,PREM SINGH MOHANPUR,3792,5.88E-06
Punjab,Fatehgarh Sahib,Aazad Samaj Party (Kanshi Ram),BAHAL SINGH,3104,4.81E-06
Punjab,Fatehgarh Sahib,Independent,PARAMJIT SINGH,2167,3.36E-06
Punjab,Fatehgarh Sahib,Independent,RULDA SINGH,1977,3.06E-06
Punjab,Fatehgarh Sahib,Independent,PARKASH PETER,1465,2.27E-06
Punjab,Fatehgarh Sahib,Independent,HARJINDER SINGH,1166,1.81E-06
Punjab,Fatehgarh Sahib,Independent,KAMALJEET KAUR,899,1.39E-06
Punjab,Fatehgarh Sahib,Independent,HARGOBIND SINGH,731,1.13E-06
Punjab,Fatehgarh Sahib,None of the Above,NOTA,9188,1.42E-05
Punjab,Faridkot,Independent,SARABJEET SINGH KHALSA,298062,0.000461851
Punjab,Faridkot,Aam Aadmi Party,KARAMJIT SINGH ANMOL,228009,0.000353303
Punjab,Faridkot,Indian National Congress,AMARJIT KAUR SAHOKE,160357,0.000248475
Punjab,Faridkot,Shiromani Akali Dal,RAJWINDER SINGH DHARAMKOT,138251,0.000214222
Punjab,Faridkot,Bharatiya Janata Party,HANS RAJ HANS,123533,0.000191416
Punjab,Faridkot,Communist Party of India,GURCHARAN SINGH MANN,14950,2.32E-05
Punjab,Faridkot,Bahujan Samaj Party,GURBAKSH SINGH CHAUHAN,8210,1.27E-05
Punjab,Faridkot,Independent,AVTAR SINGH SAHOTA,4160,6.45E-06
Punjab,Faridkot,Independent,KIKKAR SINGH DHALIWAL,3517,5.45E-06
Punjab,Faridkot,Independent,KARAM SINGH MALUKA,2862,4.43E-06
Punjab,Faridkot,Nationalist Justice Party,RUPINDER SINGH KOHARWALA,2677,4.15E-06
Punjab,Faridkot,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),BALDEV SINGH GAGRA,2395,3.71E-06
Punjab,Faridkot,Independent,NIRMAL SINGH RAJEANA,2289,3.55E-06
Punjab,Faridkot,Bhartiya Rashtriya Dal,BADAL SINGH BHALOOR,2028,3.14E-06
Punjab,Faridkot,Independent,RAJ KUMAR CHAUHAN,1961,3.04E-06
Punjab,Faridkot,Independent,OM PARKASH BANKA,1950,3.02E-06
Punjab,Faridkot,Independent,CAPTAIN BAHADUR SINGH,1640,2.54E-06
Punjab,Faridkot,Jan Sewa Driver Party,MEJOR SINGH BHATTI,1612,2.50E-06
Punjab,Faridkot,Rashtriya Republican Party,SUKHBIR SINGH BABBAL BHATTI,1530,2.37E-06
Punjab,Faridkot,Independent,GURMEET SINGH,1420,2.20E-06
Punjab,Faridkot,Independent,AMRIK SINGH,1414,2.19E-06
Punjab,Faridkot,Independent,MANPREET SHANT,1377,2.13E-06
Punjab,Faridkot,Democratic Bharatiya Samaj Party,PREM LAL,1165,1.81E-06
Punjab,Faridkot,Apna Samaj Party,PARGAT SINGH RAJEANA,1131,1.75E-06
Punjab,Faridkot,Independent,JASWANT RAI RAJORA,1047,1.62E-06
Punjab,Faridkot,Republican Party of India,DR DEV INDER GAGALANI,1040,1.61E-06
Punjab,Faridkot,Bahujan Mukti Party,PRITAM SINGH,939,1.45E-06
Punjab,Faridkot,Sanjhi Virasat Party,KULWANT KAUR,786,1.22E-06
Punjab,Faridkot,None of the Above,NOTA,4143,6.42E-06
Punjab,Firozpur,Indian National Congress,SHER SINGH GHUBAYA,266626,0.000413141
Punjab,Firozpur,Aam Aadmi Party,JAGDEEP SINGH KAKA BRAR,263384,0.000408117
Punjab,Firozpur,Bharatiya Janata Party,GURMIT SINGH SODHI,255097,0.000395276
Punjab,Firozpur,Shiromani Akali Dal,NARDEV SINGH BOBBY MANN,253645,0.000393027
Punjab,Firozpur,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),GURCHARAN SINGH BHULLAR,15941,2.47E-05
Punjab,Firozpur,Independent,FOJI ANGREJ SINGH WARWAL,9478,1.47E-05
Punjab,Firozpur,Bahujan Samaj Party,SURINDER KAMBOJ,8433,1.31E-05
Punjab,Firozpur,Independent,JASKARAN SINGH KAHAN SINGH WALA,6535,1.01E-05
Punjab,Firozpur,Independent,SUKHDEV SINGH,4599,7.13E-06
Punjab,Firozpur,Independent,SAHIL MONGA,3724,5.77E-06
Punjab,Firozpur,Independent,PRITAM SINGH,3031,4.70E-06
Punjab,Firozpur,Independent,GURPREET SINGH,2897,4.49E-06
Punjab,Firozpur,Independent,ARWINDER SINGH,2570,3.98E-06
Punjab,Firozpur,Independent,DEEPAK KUMAR DEEP DASHANAND,2436,3.77E-06
Punjab,Firozpur,Independent,RAJ,2432,3.77E-06
Punjab,Firozpur,Punjab National Party,PREM CHAND BOONGI,1947,3.02E-06
Punjab,Firozpur,Rashtriya Republican Party,AJIT SINGH,1615,2.50E-06
Punjab,Firozpur,Independent,SURINDER KUMAR BANSAL,1540,2.39E-06
Punjab,Firozpur,Independent,HARPREET SINGH,1538,2.38E-06
Punjab,Firozpur,India Praja Bandhu Party,KULDEEP SINGH,1490,2.31E-06
Punjab,Firozpur,Jan Sewa Driver Party,BALWINDER SINGH CHOHAN,1367,2.12E-06
Punjab,Firozpur,Republican Party of India (Athawale),BALWINDER SINGH,1364,2.11E-06
Punjab,Firozpur,Independent,GURCHARAN SINGH,1342,2.08E-06
Punjab,Firozpur,Independent,UMESH KUMAR,1320,2.05E-06
Punjab,Firozpur,Nationalist Justice Party,BALWANT SINGH SAMMEWALI,1152,1.79E-06
Punjab,Firozpur,Independent,MOHAN SINGH,1078,1.67E-06
Punjab,Firozpur,Independent,JASKARAN SINGH SIDHU,971,1.50E-06
Punjab,Firozpur,Independent,JASWANT SINGH KHATRI,821,1.27E-06
Punjab,Firozpur,Independent,CHAMKAUR SINGH,642,9.95E-07
Punjab,Firozpur,None of the Above,NOTA,6100,9.45E-06
Punjab,Bathinda,Shiromani Akali Dal,HARSIMRAT KAUR BADAL,376558,0.000583482
Punjab,Bathinda,Aam Aadmi Party,GURMEET SINGH KHUDIAN,326902,0.000506539
Punjab,Bathinda,Indian National Congress,JEETMOHINDER SINGH SIDHU,202011,0.000313019
Punjab,Bathinda,Bharatiya Janata Party,PARAMPAL KAUR SIDHU,110762,0.000171627
Punjab,Bathinda,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),LAKHVIR SINGH LAKHA SIDHANA,84684,0.000131219
Punjab,Bathinda,Bahujan Samaj Party,NIKKA SINGH,13039,2.02E-05
Punjab,Bathinda,Independent,JAGJIWAN BALLI,5484,8.50E-06
Punjab,Bathinda,Independent,PARWINDER SINGH,4497,6.97E-06
Punjab,Bathinda,Independent,PALA RAM,3435,5.32E-06
Punjab,Bathinda,Independent,BHAGWANT SINGH SAMAON,3388,5.25E-06
Punjab,Bathinda,Aazad Samaj Party (Kanshi Ram),JASVIR SINGH BATHINDA,3145,4.87E-06
Punjab,Bathinda,Independent,GURMEET SINGH,3082,4.78E-06
Punjab,Bathinda,Jan Sewa Driver Party,GURPREET SINGH URF PREET GHAINT,2628,4.07E-06
Punjab,Bathinda,Independent,GURBARN SINGH,1627,2.52E-06
Punjab,Bathinda,Bharatheeya Jawan Kisan Party,NAIB SINGH,1601,2.48E-06
Punjab,Bathinda,Independent,KULWANT SINGH,1182,1.83E-06
Punjab,Bathinda,Independent,AMANDEEP SINGH,1148,1.78E-06
Punjab,Bathinda,Nationalist Justice Party,POONAM RANI,1064,1.65E-06
Punjab,Bathinda,None of the Above,NOTA,4933,7.64E-06
Punjab,Sangrur,Aam Aadmi Party,GURMEET SINGH MEET HAYER,364085,0.000564155
Punjab,Sangrur,Indian National Congress,SUKHPAL SINGH KHAIRA,191525,0.000296771
Punjab,Sangrur,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),SIMRANJIT SINGH MANN,187246,0.00029014
Punjab,Sangrur,Bharatiya Janata Party,ARVIND KHANNA,128253,0.00019873
Punjab,Sangrur,Shiromani Akali Dal,IQBAL SINGH JHUNDAN,62488,9.68E-05
Punjab,Sangrur,Bahujan Samaj Party,MAKHAN SINGH,37731,5.85E-05
Punjab,Sangrur,Apni Ekta Party,PARDEEP KUMAR,5139,7.96E-06
Punjab,Sangrur,Aazad Samaj Party (Kanshi Ram),HARBHAJAN SINGH,3431,5.32E-06
Punjab,Sangrur,Independent,SUKHWINDER SINGH,3225,5.00E-06
Punjab,Sangrur,Independent,BALWINDER SINGH SEKHON,2572,3.99E-06
Punjab,Sangrur,Independent,BALWINDER SINGH,2288,3.55E-06
Punjab,Sangrur,Independent,JASWANT SINGH,2224,3.45E-06
Punjab,Sangrur,Independent,PAPPU KUMAR,1827,2.83E-06
Punjab,Sangrur,Punjab National Party,KRISHAN DEV,1815,2.81E-06
Punjab,Sangrur,Independent,AMANPREET SINGH,1693,2.62E-06
Punjab,Sangrur,Aam Janta Party (India),RANGI KHAN,1581,2.45E-06
Punjab,Sangrur,Bhartiya Jan Samman Party,JILE SINGH,1548,2.40E-06
Punjab,Sangrur,"Adarsh Janta Party,",KAMAL KUMAR VERMA (BHASAUR),1376,2.13E-06
Punjab,Sangrur,Independent,CHANNVEER SINGH,1283,1.99E-06
Punjab,Sangrur,Nationalist Justice Party,JAGTAR SINGH,1225,1.90E-06
Punjab,Sangrur,Independent,VIJAY SYAL,1145,1.77E-06
Punjab,Sangrur,India Greens Party,HARPREET KAUR,1105,1.71E-06
Punjab,Sangrur,Independent,RAJA SINGH,1040,1.61E-06
Punjab,Sangrur,None of the Above,NOTA,3820,5.92E-06
Punjab,Patiala,Indian National Congress,DR DHARAMVIRA GANDHI,305616,0.000473556
Punjab,Patiala,Aam Aadmi Party,DR BALBIR SINGH,290785,0.000450576
Punjab,Patiala,Bharatiya Janata Party,PRENEET KAUR,288998,0.000447807
Punjab,Patiala,Shiromani Akali Dal,N K SHARMA,153978,0.000238591
Punjab,Patiala,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),PROF MOHINDER PAL SINGH,47274,7.33E-05
Punjab,Patiala,Bahujan Samaj Party,JAGJIT SINGH CHHARBAR,22400,3.47E-05
Punjab,Patiala,Independent,ARVINDER KUMAR,3812,5.91E-06
Punjab,Patiala,Independent,JAGDISH KUMAR,3239,5.02E-06
Punjab,Patiala,Independent,SUKHVINDER SINGH,2894,4.48E-06
Punjab,Patiala,Independent,JODH SINGH PARMAR KAULI,2795,4.33E-06
Punjab,Patiala,Bharatheeya Jawan Kisan Party,DEVINDER RAJPUT,2311,3.58E-06
Punjab,Patiala,Independent,NEERAJ KUMAR NANNA,2302,3.57E-06
Punjab,Patiala,Independent,PARAMJIT SINGH S/O TARLOCHAN SINGH,2267,3.51E-06
Punjab,Patiala,Jan Janwadi Party,AMARJIT SINGH JAGDE RAHO,1992,3.09E-06
Punjab,Patiala,Akhil Bhartiya Parivar Party,RANJIT SINGH,1967,3.05E-06
Punjab,Patiala,Independent,GURBACHAN SINGH,1594,2.47E-06
Punjab,Patiala,Independent,PARAMJIT SINGH S/O BHAGWAN SINGH,1569,2.43E-06
Punjab,Patiala,Independent,VISHAL SHARMA,1475,2.29E-06
Punjab,Patiala,Independent,LABH SINGH PAL,1443,2.24E-06
Punjab,Patiala,Independent,CHAMKILA SINGH,1228,1.90E-06
Punjab,Patiala,Hindustan Shakti Sena,KRISHAN KUMAR GABA,1008,1.56E-06
Punjab,Patiala,Revolutionary Socialist Party,MANDEEP SINGH,973,1.51E-06
Punjab,Patiala,Independent,MAKHAN SINGH,907,1.41E-06
Punjab,Patiala,Independent,DIMPLE,850,1.32E-06
Punjab,Patiala,Independent,BINDER KAUR,711,1.10E-06
Punjab,Patiala,Independent,MANOJ KUMAR,674,1.04E-06
Punjab,Patiala,None of the Above,NOTA,6681,1.04E-05
Rajasthan,GANGANAGAR,Indian National Congress,KULDEEP INDORA,726492,0.00112571
Rajasthan,GANGANAGAR,Bharatiya Janata Party,PRIYANKA BALAN MEGHWAL,638339,0.000989116
Rajasthan,GANGANAGAR,Bahujan Samaj Party,DEVKARAN NAYAK,16302,2.53E-05
Rajasthan,GANGANAGAR,Independent,RAJKUMAR,4375,6.78E-06
Rajasthan,GANGANAGAR,Indian Peoples Green Party,KULWANT KAUR,4362,6.76E-06
Rajasthan,GANGANAGAR,Independent,DAYA RAM,3719,5.76E-06
Rajasthan,GANGANAGAR,Bhartiya Jan Samman Party,RAJENDER KUMAR,2443,3.79E-06
Rajasthan,GANGANAGAR,Independent,KANA RAM,2266,3.51E-06
Rajasthan,GANGANAGAR,Jai Hind Congress Party,MAJOR SINGH,2101,3.26E-06
Rajasthan,GANGANAGAR,None of the Above,NOTA,13095,2.03E-05
Rajasthan,BIKANER,Bharatiya Janata Party,ARJUN RAM MEGHWAL,566737,0.000878167
Rajasthan,BIKANER,Indian National Congress,GOVINDRAM MEGHWAL,511026,0.000791842
Rajasthan,BIKANER,Bahujan Samaj Party,KHETA RAM,8299,1.29E-05
Rajasthan,BIKANER,Independent,ATMA RAM GUJARATI,6281,9.73E-06
Rajasthan,BIKANER,Independent,RATANI DEVI,3926,6.08E-06
Rajasthan,BIKANER,Independent,SATYANARAYAN DEVRA,2966,4.60E-06
Rajasthan,BIKANER,Independent,PUKHRAJ NAYAK,2675,4.14E-06
Rajasthan,BIKANER,Independent,BABU LAL,2019,3.13E-06
Rajasthan,BIKANER,Independent,GOPI CHAND MEGHWAL,1795,2.78E-06
Rajasthan,BIKANER,None of the Above,NOTA,12558,1.95E-05
Rajasthan,CHURU,Indian National Congress,RAHUL KASWAN,728211,0.001128373
Rajasthan,CHURU,Bharatiya Janata Party,DEVENDRA JHAJHARIA,655474,0.001015666
Rajasthan,CHURU,Bahujan Samaj Party,DEIRAM MEGHWAL,11271,1.75E-05
Rajasthan,CHURU,Independent,RAMESH KUMAR,5724,8.87E-06
Rajasthan,CHURU,Bharat Rakshak Party (Democratic),GOMATI DHARAMPAL KATARIA,4961,7.69E-06
Rajasthan,CHURU,Independent,SUKHDEV,4559,7.06E-06
Rajasthan,CHURU,Independent,RANVEER SINGH,1812,2.81E-06
Rajasthan,CHURU,Independent,BISAN SINGH,1644,2.55E-06
Rajasthan,CHURU,Independent,YUSUF ALI KHAN,1230,1.91E-06
Rajasthan,CHURU,National Janmandal Party,DAULAT RAM PENSIA,1193,1.85E-06
Rajasthan,CHURU,Bheem Tribal Congress,SHISHPAL SINGH RANA,675,1.05E-06
Rajasthan,CHURU,Independent,NIRANJAN SINGH RATHORE,668,1.04E-06
Rajasthan,CHURU,Independent,ASLAM LILGAR,567,8.79E-07
Rajasthan,CHURU,None of the Above,NOTA,6656,1.03E-05
Rajasthan,JHUNJHUNU,Indian National Congress,BRIJENDRA SINGH OLA,553168,0.000857142
Rajasthan,JHUNJHUNU,Bharatiya Janata Party,SHUBHKARAN CHOUDHARY,534933,0.000828886
Rajasthan,JHUNJHUNU,Independent,SHEKHAWAT RAJENDRA SINGH,7690,1.19E-05
Rajasthan,JHUNJHUNU,Bahujan Samaj Party,BANSHIDHAR,6867,1.06E-05
Rajasthan,JHUNJHUNU,Ambedkarite Party of India,DURGA PRASAD MEENA,5497,8.52E-06
Rajasthan,JHUNJHUNU,Independent,ALTIF,2050,3.18E-06
Rajasthan,JHUNJHUNU,Bheem Tribal Congress,SATYANARAYAN,1150,1.78E-06
Rajasthan,JHUNJHUNU,Bahujan Kranti Party (Marxwad-Ambedkarwad),HAZARI LAL,940,1.46E-06
Rajasthan,JHUNJHUNU,None of the Above,NOTA,6632,1.03E-05
Rajasthan,SIKAR,Communist Party of India  (Marxist),AMRARAM,659300,0.001021595
Rajasthan,SIKAR,Bharatiya Janata Party,SUMEDHANAND SARASWATI,586404,0.000908641
Rajasthan,SIKAR,Independent,SURESH PAREEK,10021,1.55E-05
Rajasthan,SIKAR,Bahujan Samaj Party,AMARCHAND,8619,1.34E-05
Rajasthan,SIKAR,Independent,RAVINDRA SINGH SHEKHAWAT,6025,9.34E-06
Rajasthan,SIKAR,Independent,VISHNU KUMAR NATRAJ,5803,8.99E-06
Rajasthan,SIKAR,Ambedkarite Party of India,ASHOK SEHRA,5382,8.34E-06
Rajasthan,SIKAR,Ummeed Party of India,DHIRENDRA  VERMA,2944,4.56E-06
Rajasthan,SIKAR,Independent,MAHESH KUMAR,2056,3.19E-06
Rajasthan,SIKAR,Rashtriya Sawarn Dal,BENI PRASAD KAUSHIK (LATA),1731,2.68E-06
Rajasthan,SIKAR,Bhartiya Party,RAMESH SHARMA,1549,2.40E-06
Rajasthan,SIKAR,Bharatiya Yuva Jan Ekta Party,VIJENDER MAHARIA,1451,2.25E-06
Rajasthan,SIKAR,Independent,OM PRAKASH,1224,1.90E-06
Rajasthan,SIKAR,Independent,BIRBALSINGH,1081,1.68E-06
Rajasthan,SIKAR,None of the Above,NOTA,7266,1.13E-05
Rajasthan,JAIPUR RURAL,Bharatiya Janata Party,RAO RAJENDRA SINGH,617877,0.000957409
Rajasthan,JAIPUR RURAL,Indian National Congress,ANIL CHOPRA,616262,0.000954907
Rajasthan,JAIPUR RURAL,Bahujan Samaj Party,HANUMAN SAHAY,3850,5.97E-06
Rajasthan,JAIPUR RURAL,Independent,RAMSINGH KASANA,3707,5.74E-06
Rajasthan,JAIPUR RURAL,Ambedkarite Party of India,DR DASHRATH HINUNIA,2681,4.15E-06
Rajasthan,JAIPUR RURAL,Independent,KAHANVI BOHRA,1711,2.65E-06
Rajasthan,JAIPUR RURAL,Independent,DR RAM ROOP MEENA ADVOCATE,1604,2.49E-06
Rajasthan,JAIPUR RURAL,Independent,NEHA SINGH GURJAR,1407,2.18E-06
Rajasthan,JAIPUR RURAL,Independent,PRAKASH KUMAR SHARMA,1040,1.61E-06
Rajasthan,JAIPUR RURAL,Republican Party of India (A),AJAY BHAT,948,1.47E-06
Rajasthan,JAIPUR RURAL,Independent,DEVHANS,941,1.46E-06
Rajasthan,JAIPUR RURAL,Independent,DR OM SINGH MEENA SEHARA,734,1.14E-06
Rajasthan,JAIPUR RURAL,Right to Recall Party,ADITYA PRAKASH SHARMA,666,1.03E-06
Rajasthan,JAIPUR RURAL,Rashtriya Sawarn Dal,YOGI JEETENDRA NATH ADVOCATE,562,8.71E-07
Rajasthan,JAIPUR RURAL,Bheem Tribal Congress,ADVOCATE HARI KISHAN TIWARI,545,8.44E-07
Rajasthan,JAIPUR RURAL,None of the Above,NOTA,7519,1.17E-05
Rajasthan,JAIPUR,Bharatiya Janata Party,MANJU SHARMA,886850,0.001374187
Rajasthan,JAIPUR,Indian National Congress,PRATAP SINGH KHACHARIYAWAS,555083,0.000860109
